County,CBSA Code,Type
17129,44100,A
17167,44100,A
25013,44140,A
25015,44140,A
29043,44180,A
29059,44180,A
29077,44180,A
29167,44180,A
29225,44180,A
39023,44220,A
28105,44260,B
42027,44300,A
13031,44340,B
51015,44420,A
51790,44420,A
51820,44420,A
08107,44460,B
48143,44500,B
08075,44540,B
17195,44580,B
55097,44620,B
40119,44660,B
06077,44700,A
19021,44740,B
26149,44780,B
48223,44860,B
13055,44900,B
49043,44920,B
45085,44940,A
42097,44980,B
06035,45000,B
48353,45020,B
36053,45060,A
36067,45060,A
36075,45060,A
40021,45140,B
01037,45180,B
01121,45180,B
12039,45220,A
12065,45220,A
12073,45220,A
12129,45220,A
12053,45300,A
12057,45300,A
12101,45300,A
12103,45300,A
35055,45340,B
17021,45380,B
18021,45460,A
18153,45460,A
18165,45460,A
18167,45460,A
05081,45500,A
05091,45500,A
48037,45500,A
41065,45520,B
12119,45540,A
13293,45580,B
13275,45620,B
39147,45660,B
13277,45700,B
13257,45740,B
39051,45780,A
39095,45780,A
39173,45780,A
20085,45820,A
20087,45820,A
20139,45820,A
20177,45820,A
20197,45820,A
09005,45860,B
26019,45900,B
26055,45900,B
26079,45900,B
26089,45900,B
34021,45940,A
01109,45980,B
06057,46020,B
04019,46060,A
47031,46100,B
47051,46100,B
47127,46100,B
40037,46140,A
40111,46140,A
40113,46140,A
40117,46140,A
40131,46140,A
40143,46140,A
40145,46140,A
28057,46180,B
28081,46180,B
28115,46180,B
01065,46220,A
01107,46220,A
01125,46220,A
16053,46300,B
16083,46300,B
48423,46340,A
06045,46380,B
21075,46460,B
47131,46460,B
39021,46500,B
15003,46520,A
36043,46540,A
36065,46540,A
48463,46620,B
